number,frequency
5,45
48,43
21,43
3,38
27,38
9,38
17,37
44,36
47,36
40,34
25,34
29,33
2,33
10,33
28,32
49,32
18,32
41,32
7,31
14,31
42,31
15,31
23,31
16,31
6,30
45,30
22,30
30,29
13,29
31,29
20,29
32,28
26,28
37,28
43,28
35,28
12,28
36,27
38,27
34,27
19,26
8,26
39,24
33,24
24,23
4,20
1,20
46,20
11,18
