number,frequency
45,211
21,205
23,204
10,204
38,203
15,200
36,198
22,196
48,193
3,193
7,192
9,189
35,189
8,189
44,188
40,188
41,188
4,188
31,187
27,186
24,185
34,185
11,184
28,183
20,183
49,183
37,181
13,181
46,181
12,179
33,178
16,177
42,176
47,176
43,175
26,175
25,175
19,174
6,172
2,172
17,172
18,171
29,170
30,170
39,167
5,165
14,158
32,155
1,152
